City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
220,Kenai,US,2022-02-13 22:11:37,60.5544,-151.2583,33.03,95,100,6.91,mist
221,Nelson Bay,AU,2022-02-13 22:10:11,-32.7167,152.15,75.0,76,97,1.99,overcast clouds
222,Zhigalovo,RU,2022-02-13 22:11:38,54.8097,105.1578,-33.16,100,88,2.01,overcast clouds
223,Homer,US,2022-02-13 22:11:38,59.6425,-151.5483,35.8,83,75,10.0,broken clouds
224,Salalah,OM,2022-02-13 22:11:39,17.0151,54.0924,75.29,23,0,21.85,clear sky
225,Okha,RU,2022-02-13 22:12:39,53.5739,142.9478,-13.2,96,19,9.04,few clouds
226,Linhares,BR,2022-02-13 22:12:40,-19.3911,-40.0722,75.4,88,33,6.29,scattered clouds
227,Naze,JP,2022-02-13 22:11:06,28.3667,129.4833,58.12,88,100,20.04,light rain
228,Ribeira Grande,PT,2022-02-13 22:12:40,38.5167,-28.7,58.35,69,99,9.64,overcast clouds
229,Baykit,RU,2022-02-13 22:12:40,61.67,96.37,-19.52,100,90,3.76,overcast clouds
230,Ornskoldsvik,SE,2022-02-13 22:12:41,63.2909,18.7153,32.95,93,59,8.05,broken clouds
231,Hervey Bay,AU,2022-02-13 22:12:41,-25.2986,152.8535,77.04,75,14,19.13,light rain
232,Ajdabiya,LY,2022-02-13 22:12:42,30.7554,20.2263,54.81,72,0,6.51,clear sky
233,Loei,TH,2022-02-13 22:12:42,17.4167,101.5,61.86,85,99,3.91,overcast clouds
234,Prince Rupert,CA,2022-02-13 22:10:11,54.3161,-130.3201,50.09,66,100,11.5,light rain
235,Huarmey,PE,2022-02-13 22:12:43,-10.0681,-78.1522,75.74,72,9,11.21,clear sky
236,Kahului,US,2022-02-13 22:08:59,20.8947,-156.47,80.62,67,20,17.27,few clouds
237,Mayo,US,2022-02-13 22:09:26,38.8876,-76.5119,35.37,74,100,6.91,overcast clouds
238,Nemuro,JP,2022-02-13 22:10:43,43.3236,145.575,26.82,86,100,11.01,overcast clouds
239,High Prairie,CA,2022-02-13 22:12:44,55.4334,-116.4858,27.63,81,79,1.9,broken clouds
240,Lasa,IT,2022-02-13 22:12:44,46.6166,10.7002,26.37,63,1,2.17,clear sky
241,Launceston,AU,2022-02-13 22:12:45,-41.45,147.1667,64.15,84,86,5.75,overcast clouds
242,Pisco,PE,2022-02-13 22:08:16,-13.7,-76.2167,73.45,64,0,20.71,clear sky
243,Coahuayana,MX,2022-02-13 22:12:00,18.7333,-103.6833,96.28,37,95,6.85,overcast clouds
244,Valvedditturai,LK,2022-02-13 22:12:45,9.8167,80.1667,77.52,71,36,12.59,scattered clouds
